1.0000e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0975e-06 5.1903e-18 3.7062e-18 0.0000e+00 4.3189e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.2045e-06 1.4603e-17 1.0467e-17 0.0000e+00 1.2070e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.3219e-06 2.6748e-17 1.9239e-17 0.0000e+00 2.1952e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.4508e-06 4.1156e-17 2.9698e-17 0.0000e+00 3.3527e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.5923e-06 5.7618e-17 4.1700e-17 0.0000e+00 4.6575e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.7475e-06 7.6046e-17 5.5186e-17 0.0000e+00 6.0982e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.9179e-06 9.6405e-17 7.0154e-17 0.0000e+00 7.6695e-17 0.0000e+00 0.0000e+00 0.0000e+00
2.1049e-06 1.1866e-16 8.6638e-17 0.0000e+00 9.3708e-17 0.0000e+00 0.0000e+00 0.0000e+00
2.3101e-06 1.4272e-16 1.0470e-16 1.1201e-16 1.1204e-16 0.0000e+00 0.0000e+00 0.0000e+00
2.5354e-06 1.6838e-16 1.2444e-16 3.8689e-16 1.3175e-16 0.0000e+00 0.0000e+00 0.0000e+00
2.7826e-06 1.9529e-16 1.4597e-16 7.4141e-16 1.5289e-16 0.0000e+00 0.0000e+00 0.0000e+00
3.0539e-06 2.2315e-16 1.6943e-16 1.1583e-15 1.7555e-16 0.0000e+00 0.0000e+00 0.0000e+00
3.3516e-06 2.5190e-16 1.9500e-16 1.6323e-15 1.9984e-16 0.0000e+00 0.0000e+00 0.0000e+00
3.6784e-06 2.8163e-16 2.2290e-16 2.1377e-15 2.2585e-16 0.0000e+00 0.0000e+00 0.0000e+00
4.0370e-06 3.1258e-16 2.5338e-16 2.6917e-15 2.5373e-16 0.0000e+00 0.0000e+00 0.0000e+00
4.4306e-06 3.4219e-16 2.8677e-16 3.2759e-15 2.8360e-16 0.0000e+00 0.0000e+00 0.0000e+00
4.8626e-06 3.6620e-16 3.2337e-16 3.8944e-15 3.1560e-16 0.0000e+00 0.0000e+00 0.0000e+00
5.3367e-06 3.9130e-16 3.6333e-16 4.5425e-15 3.4989e-16 0.0000e+00 0.0000e+00 0.0000e+00
5.8570e-06 4.1880e-16 4.0621e-16 5.2285e-15 3.8662e-16 0.0000e+00 0.0000e+00 0.0000e+00
6.4281e-06 4.5345e-16 4.5117e-16 5.9501e-15 4.2596e-16 0.0000e+00 0.0000e+00 0.0000e+00
7.0548e-06 4.9984e-16 4.9767e-16 6.7055e-15 4.6808e-16 0.0000e+00 0.0000e+00 0.0000e+00
