1.0000e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0975e-06 5.1572e-17 6.0883e-18 0.0000e+00 0.0000e+00
1.2045e-06 1.4653e-16 1.6961e-17 0.0000e+00 0.0000e+00
1.3219e-06 2.7102e-16 3.0742e-17 0.0000e+00 0.0000e+00
1.4508e-06 4.2101e-16 4.6776e-17 0.0000e+00 0.0000e+00
1.5923e-06 5.9496e-16 6.4718e-17 0.0000e+00 0.0000e+00
1.7475e-06 7.9249e-16 8.4365e-17 0.0000e+00 0.0000e+00
1.9179e-06 1.0140e-15 1.0560e-16 0.0000e+00 0.0000e+00
2.1049e-06 1.2603e-15 1.2836e-16 0.0000e+00 0.0000e+00
2.3101e-06 1.5328e-15 1.5262e-16 0.0000e+00 0.0000e+00
2.5354e-06 1.8330e-15 1.7839e-16 0.0000e+00 0.0000e+00
2.7826e-06 2.1629e-15 2.0566e-16 0.0000e+00 0.0000e+00
3.0539e-06 2.5244e-15 2.3449e-16 0.0000e+00 0.0000e+00
3.3516e-06 2.9200e-15 2.6489e-16 0.0000e+00 0.0000e+00
3.6784e-06 3.3523e-15 2.9692e-16 0.0000e+00 0.0000e+00
4.0370e-06 3.8238e-15 3.3061e-16 0.0000e+00 0.0000e+00
4.4306e-06 4.3377e-15 3.6600e-16 0.0000e+00 0.0000e+00
4.8626e-06 4.8971e-15 4.0310e-16 0.0000e+00 0.0000e+00
5.3367e-06 5.5054e-15 4.4193e-16 0.0000e+00 0.0000e+00
5.8570e-06 6.1665e-15 4.8248e-16 0.0000e+00 0.0000e+00
6.4281e-06 6.8845e-15 5.2474e-16 0.0000e+00 0.0000e+00
7.0548e-06 7.6646e-15 5.6866e-16 0.0000e+00 0.0000e+00
7.7426e-06 8.5127e-15 6.1415e-16 0.0000e+00 0.0000e+00
8.4975e-06 9.4364e-15 6.6112e-16 0.0000e+00 0.0000e+00
9.3260e-06 1.0447e-14 7.0941e-16 0.0000e+00 0.0000e+00
1.0235e-05 1.1561e-14 7.5886e-16 0.0000e+00 0.0000e+00
1.1233e-05 1.2804e-14 8.0923e-16 0.0000e+00 0.0000e+00
1.2328e-05 1.4150e-14 8.6025e-16 0.0000e+00 0.0000e+00
1.3530e-05 1.5546e-14 9.1161e-16 0.0000e+00 0.0000e+00
1.4850e-05 1.6972e-14 9.6294e-16 0.0000e+00 0.0000e+00
1.6298e-05 1.8093e-14 1.0138e-15 0.0000e+00 0.0000e+00
1.7886e-05 1.8979e-14 1.0638e-15 0.0000e+00 0.0000e+00
1.9630e-05 1.9701e-14 1.1124e-15 0.0000e+00 0.0000e+00
2.1544e-05 2.0565e-14 1.1590e-15 0.0000e+00 0.0000e+00
2.3645e-05 2.1410e-14 1.2032e-15 0.0000e+00 0.0000e+00
2.5950e-05 2.2293e-14 1.2442e-15 0.0000e+00 0.0000e+00
2.8480e-05 2.3570e-14 1.2816e-15 0.0000e+00 0.0000e+00
3.1257e-05 2.6176e-14 1.3147e-15 0.0000e+00 0.0000e+00
3.4305e-05 3.4988e-14 1.3430e-15 0.0000e+00 0.0000e+00
3.7649e-05 4.0260e-14 1.3649e-15 0.0000e+00 0.0000e+00
4.1320e-05 4.3022e-14 1.3702e-15 0.0000e+00 0.0000e+00
4.5349e-05 4.4289e-14 1.3671e-15 0.0000e+00 0.0000e+00
4.9770e-05 4.4703e-14 1.3558e-15 0.0000e+00 0.0000e+00
5.4623e-05 4.4275e-14 1.3412e-15 0.0000e+00 0.0000e+00
5.9948e-05 4.3459e-14 1.3207e-15 0.0000e+00 0.0000e+00
6.5793e-05 4.2276e-14 1.2949e-15 0.0000e+00 0.0000e+00
7.2208e-05 4.0901e-14 1.2685e-15 0.0000e+00 0.0000e+00
7.9248e-05 3.9283e-14 1.2382e-15 1.2987e-17 0.0000e+00
8.6975e-05 3.7603e-14 1.2080e-15 8.5577e-17 0.0000e+00
9.5455e-05 3.5850e-14 1.1714e-15 1.7151e-16 0.0000e+00
1.0476e-04 3.4033e-14 1.1386e-15 2.8672e-16 0.0000e+00
1.1498e-04 3.2248e-14 1.1002e-15 3.9192e-16 0.0000e+00
1.2619e-04 3.0502e-14 1.0626e-15 4.9914e-16 0.0000e+00
1.3849e-04 2.8767e-14 1.0208e-15 5.9524e-16 0.0000e+00
1.5199e-04 2.7081e-14 9.8012e-16 6.9204e-16 0.0000e+00
1.6681e-04 2.5451e-14 9.3850e-16 7.9899e-16 0.0000e+00
1.8307e-04 2.3895e-14 8.9799e-16 9.0558e-16 0.0000e+00
2.0092e-04 2.2394e-14 8.5542e-16 9.9524e-16 0.0000e+00
2.2051e-04 2.0963e-14 8.1431e-16 1.0918e-15 0.0000e+00
2.4201e-04 1.9609e-14 7.7220e-16 1.1815e-15 0.0000e+00
2.6561e-04 1.8319e-14 7.3183e-16 1.2480e-15 0.0000e+00
2.9151e-04 1.7103e-14 6.9216e-16 1.3173e-15 0.0000e+00
3.1993e-04 1.5951e-14 6.5340e-16 1.3602e-15 0.0000e+00
3.5112e-04 1.4869e-14 6.1573e-16 1.3991e-15 0.0000e+00
3.8535e-04 1.3850e-14 5.7931e-16 1.4231e-15 0.0000e+00
4.2292e-04 1.2891e-14 5.4424e-16 1.4207e-15 0.0000e+00
4.6416e-04 1.1993e-14 5.1058e-16 1.4185e-15 0.0000e+00
5.0941e-04 1.1149e-14 4.7875e-16 1.3937e-15 0.0000e+00
5.5908e-04 1.0362e-14 4.4803e-16 1.3656e-15 0.0000e+00
6.1359e-04 9.6246e-15 4.1883e-16 1.3258e-15 0.0000e+00
