0.025 1000 53
53
0.025 2.50851
 0.03 2.82942
 0.04  3.4352
 0.05 4.00276
 0.06  4.5393
 0.07 5.04899
 0.08 5.53462
 0.09 5.99983
  0.1 6.44872
 0.15 8.44002
  0.2 10.1467
 0.25 11.7482
  0.3 13.3694
  0.4 16.5739
  0.5 19.5644
  0.6 22.3027
  0.7 24.7829
  0.8 26.9953
  0.9 28.9391
    1 30.6336
  1.5 36.2847
    2 39.0603
  2.5 40.4751
    3 41.2075
    4 41.6846
    5 41.5376
    6 41.1045
    7 40.5268
    8  39.873
    9 39.1811
   10 38.4725
   15  35.019
   20 31.9849
   25 29.3907
   30  27.172
   40 23.6105
   50 20.8972
   60 18.7754
   70 17.0769
   80 15.6917
   90 14.5433
  100 13.5777
  150 10.4248
  200 8.71057
  250 7.64625
  300  6.9271
  400 6.02707
  500 5.49597
  600 5.15267
  700  4.9174
  800 4.74932
  900 4.62571
 1000 4.53168
