12 12 1.187100000e-02
1.187100000e-02 8.210149438e+00 -1.525034965e+00 1.494305312e-01 -3.023856504e-03 3.505827800e-05 -1.583598995e-07
1.531000000e-03 8.958481701e+00 -1.659797450e+00 1.628125964e-01 -3.306021260e-03 3.824149233e-05 -1.722240739e-07
1.362000000e-03 9.006078983e+00 -1.668887612e+00 1.635275844e-01 -3.309692592e-03 3.835185635e-05 -1.728861970e-07
1.327000000e-03 9.083210231e+00 -1.683548036e+00 1.646270465e-01 -3.312314277e-03 3.851109619e-05 -1.739094962e-07
2.080000000e-04 9.200067602e+00 -1.704399434e+00 1.666920935e-01 -3.355719308e-03 3.899655810e-05 -1.759986900e-07
1.510000000e-04 9.207422823e+00 -1.705799785e+00 1.668027429e-01 -3.356301746e-03 3.901122438e-05 -1.760871010e-07
1.450000000e-04 9.218848596e+00 -1.708002870e+00 1.669710605e-01 -3.356716910e-03 3.903179657e-05 -1.762235375e-07
4.600000000e-05 9.218921686e+00 -1.708015720e+00 1.669717950e-01 -3.356713433e-03 3.903286546e-05 -1.762285698e-07
4.500000000e-05 9.219014749e+00 -1.708031568e+00 1.669726489e-01 -3.356707053e-03 3.903436035e-05 -1.762355136e-07
1.700000000e-05 9.230893179e+00 -1.710145612e+00 1.671803846e-01 -3.361105303e-03 3.908383867e-05 -1.764495688e-07
9.810000000e-06 9.231120399e+00 -1.710189133e+00 1.671838374e-01 -3.361124350e-03 3.908430290e-05 -1.764523660e-07
9.810000000e-06 9.231468081e+00 -1.710256346e+00 1.671889911e-01 -3.361138640e-03 3.908494960e-05 -1.764566745e-07
