1  	  1  	  1
3         0.002010        0.118139
5  	  0.297696  	  0.119088
6  	  0.452243  	  0.12517
10  	  0.0533873  	  0.139525
11  	  0.106126  	  0.140974
13  	  0.00228715  	  0.141637
14  	  0.00245768  	  0.141911
18  	  0.0137529  	  0.14471
19  	  0.0289313  	  0.145102
21  	  0.00072271  	  0.145421
22  	  0.000783405  	  0.145492
29  	  0.00358619  	  0.146137
30  	  0.00750311  	  0.146254
32  	  0.000170123  	  0.146372
33  	  0.000182513  	  0.146389
43  	  0.000601068  	  0.146489
44  	  0.00105946  	  0.146509
-1  	  -1  	  -1
3  	  3  	  3
5  	  1.38053e-05  	  0.000949
6  	  0.0198033  	  0.007031
10  	  0.0841924  	  0.021386
11  	  0.0567922  	  0.022835
13  	  0.00463912  	  0.023498
14  	  0.00687154  	  0.023772
18  	  0.0233828  	  0.026571
19  	  0.0191536  	  0.026963
21  	  0.000853345  	  0.027282
22  	  0.00137273  	  0.027353
29  	  0.00618492  	  0.027998
30  	  0.00520026  	  0.028115
32  	  0.000175977  	  0.028233
33  	  0.000282892  	  0.02825
43  	  0.00104185  	  0.02835
44  	  0.000743291  	  0.02837
-1  	  -1  	  -1
5  	  5  	  5
6  	  0.000107063  	  0.006082
8  	  0.0121418  	  0.019998
11  	  0.000744497  	  0.021886
13  	  0.412226  	  0.022549
16  	  0.00342234  	  0.025414
19  	  0.000249104  	  0.026014
21  	  0.100992  	  0.026333
24  	  0.000804098  	  0.02682
27  	  0.000963605  	  0.026967
30  	  6.55445e-05  	  0.027166
32  	  0.0222873  	  0.027284
35  	  0.000108255  	  0.0274251
41  	  0.000204967  	  0.027377
44  	  9.02737e-06  	  0.027421
58  	  1.49403e-05  	  0.0274321
-1  	  -1  	  -1
6  	  6  	  6
8  	  0.0279123  	  0.013916
10  	  0.000375063  	  0.014355
11  	  0.000347021  	  0.015804
13  	  0.0400025  	  0.016467
14  	  0.350817  	  0.016741
16  	  0.00726782  	  0.019332
18  	  7.92319e-05  	  0.01954
19  	  9.75128e-05  	  0.019932
21  	  0.00842348  	  0.020251
22  	  0.0781235  	  0.020322
24  	  0.000147038  	  0.020738
25  	  0.0008091  	  0.020759
27  	  0.00199013  	  0.020885
29  	  1.84191e-05  	  0.020967
30  	  2.39388e-05  	  0.021084
32  	  0.00180058  	  0.021202
33  	  0.0166844  	  0.021219
35  	  1.98026e-05  	  0.0213431
36  	  8.64513e-05  	  0.0213455
41  	  0.000402236  	  0.021295
43  	  3.15848e-06  	  0.021319
44  	  3.50155e-06  	  0.021339
58  	  3.00107e-05  	  0.0213501
-1  	  -1  	  -1
8  	  8  	  8
10  	  1.05736e-05  	  0.000439
11  	  0.00232708  	  0.001888
18  	  0.00390718  	  0.005624
19  	  0.00131438  	  0.006016
29  	  0.00113218  	  0.007051
30  	  0.00048016  	  0.007168
43  	  0.000195674  	  0.007403
44  	  7.16875e-05  	  0.007423
-1  	  -1  	  -1
10  	  10  	  10
13  	  0.003271  	  0.002112
16  	  0.00134776  	  0.004977
21  	  0.00579567  	  0.005896
27  	  0.000379758  	  0.00653
32  	  0.00164081  	  0.006847
41  	  7.63478e-05  	  0.00694
58  	  5.97831e-06  	  0.00699515
-1  	  -1  	  -1
11  	  11  	  11
13  	  1.33522e-05  	  0.000663
14  	  0.000388174  	  0.000937
16  	  0.00312749  	  0.003528
21  	  0.00138741  	  0.004447
22  	  0.0101359  	  0.004518
27  	  0.000822828  	  0.005081
32  	  0.000330778  	  0.005398
33  	  0.002482  	  0.005415
41  	  0.000165849  	  0.005491
58  	  1.20199e-05  	  0.00554615
-1  	  -1  	  -1
13  	  13  	  13
18  	  0.00289046  	  0.003073
19  	  0.000219346  	  0.003465
24  	  0.0609467  	  0.004271
