1		1		1
3		0.000576568	0.066624	
5		0.277905904	0.067184	
6		0.474515683	0.069038	
10		0.055927122	0.0778157	
11		0.107818266	0.078226	
14		0.002882841	0.07870355	
19		0.043819188	0.08037315	
22		0.000576568	0.0806157	
-1		-1		-1
3		3		3
10		0.036092174	0.0111917	
11		0.046035789	0.011602	
14		0.003337655	0.0121238	
18		0.011692998	0.0136997	
19		0.015836207	0.0137986	
30		0.004004932	0.0142746	
-1		-1		-1
5		5		5
8		0.006554715	0.0103746	
13		0.295927458	0.0114753	
16		0.002071568	0.0130286	
21		0.059303848	0.0134225	
32		0.008137935	0.0137638	
-1		-1		-1
6		6		6
8		0.012851582	0.0085206	
13		0.027329713	0.0096213	
14		0.244656312	0.0097098	
16		0.00358484	0.0111746	
22		0.059329496	0.0115869	
32		0.005627518	0.0119098	
-1		-1		-1
8		8		8
17		0.002159414	0.002814565	
28		0.000430587	0.00333144	
-1		-1		-1
10		10		10
16		0.000619376	0.0023969	
21		0.003230966	0.00279082	
27		0.000120515	0.00302907	
32		0.000409364	0.00313214	
-1		-1		-1
11		11		11
16		0.001133526	0.0019866	
18		3.04574e-06	0.00209772	
21		0.000554361	0.00238052	
22		0.004351347	0.00239895	
23		4.61242e-05	0.00263862	
27		0.000204078	0.00261877	
31		0.000551316	0.00263862	
-1		-1		-1
13		13		13
18		0.001698201	0.00166442	
19		0.000204773	0.00176331	
24		0.035305635	0.00220333	
29		0.000233017	0.00222215	
30		2.82443e-05	0.00223933	
-1		-1		-1
14		14		14
19		0.001547455	0.00167481	
24		0.001875924	0.00211483	
25		0.036496575	0.00211881	
30		0.00021168	0.00215083	
-1		-1		-1
-2		-2		-2
