1		1		1
5		0.206181829	0.0148403	
6		0.395362607	0.0149185	
10		0.032321032	0.0166877	
11		0.062882167	0.0167001	
19		0.013244774	0.0169671	
-1		-1		-1
3		3		3
10		0.001802605	0.00204264	
11		0.003156927	0.00205498	
14		3.31478e-05	0.00218839	
18		0.000244662	0.00232119	
19		0.000596659	0.00232276	
-1		-1		-1
5		5		5
8		0.001319389	0.00177391	
13		0.027689181	0.00199096	
16		0.000138446	0.00210635	
21		0.000456872	0.00215446	
-1		-1		-1
6		6		6
8		0.001449573	0.00169571	
13		0.003356356	0.00191276	
14		0.030237777	0.00191499	
16		0.000166289	0.00202815	
22		0.000105821	0.00207637	
-1		-1		-1
-2		-2		-2
