1		1		1
3		0.000911494	0.074456	
5		0.279828639	0.075064	
6		0.471242366	0.077407	
10		0.05560113	0.0871393	
11		0.107556285	0.0876651	
14		0.003645976	0.08819	
19		0.048309179	0.0900977	
22		0.000911494	0.0903792	
-1		-1		-1
3		3		3
10		0.041889422	0.0126833	
11		0.048511442	0.0132091	
14		0.004220359	0.01379	
18		0.014529521	0.0155766	
19		0.017755006	0.0157068	
30		0.005093928	0.0162785	
-1		-1		-1
5		5		5
8		0.007741757	0.0117941	
13		0.32943614	0.01307	
16		0.002305902	0.0148446	
21		0.069955826	0.015303	
32		0.012848144	0.0157326	
-1		-1		-1
6		6		6
8		0.015063295	0.0094511	
13		0.029561782	0.010727	
14		0.264637772	0.010839	
16		0.00420712	0.0125016	
22		0.066107945	0.0129844	
32		0.009182191	0.0133896	
-1		-1		-1
8		8		8
17		0.002779139	0.003238705	
28		0.000620861	0.00386271	
-1		-1		-1
10		10		10
16		0.000798043	0.00276927	
21		0.00414784	0.00322775	
27		0.000171306	0.00352584	
32		0.000672779	0.00365733	
-1		-1		-1
11		11		11
16		0.00142257	0.00224347	
18		3.78603e-06	0.00236747	
21		0.000698844	0.00270195	
22		0.005409011	0.00272629	
23		6.65309e-05	0.00299588	
27		0.000282892	0.00300004	
31		0.000917369	0.00313313	
-1		-1		-1
13		13		13
18		0.00191348	0.00189857	
19		0.000217628	0.00202884	
24		0.041061801	0.00252413	
29		0.000307964	0.00257488	
30		3.69556e-05	0.00260054	
-1		-1		-1
14		14		14
19		0.001734245	0.00191684	
24		0.002260713	0.00241213	
25		0.044240956	0.00241783	
30		0.000283142	0.00248854	
-1		-1		-1
-2		-2		-2
