   7.0000000e+04   2.1865724e+00   1.8195745e+00   1.6760615e+00   1.4533146e+00   9.4856068e-01   9.1457199e-01   8.8687254e-01   7.5046585e-01   6.4277296e-01   5.6758640e-01   3.7288905e-01   3.6950486e-01   2.2229006e-01   1.6159962e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0000000e+05   1.8466836e+00   1.5679320e+00   1.4580197e+00   1.2861811e+00   8.8908812e-01   8.6182284e-01   8.3953866e-01   7.2885531e-01   6.4014718e-01   5.7734564e-01   4.1005656e-01   4.0707018e-01   2.7307315e-01   2.1441351e-01   1.6622803e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.3000000e+05   1.5828571e+00   1.3583331e+00   1.2694268e+00   1.1299225e+00   8.0444888e-01   7.8189329e-01   7.6343344e-01   6.7137727e-01   5.9708270e-01   5.4414795e-01   4.0131392e-01   3.9873348e-01   2.8133240e-01   2.2856902e-01   1.8424653e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   4.2000000e+05   6.6595620e-01   5.8676877e-01   5.5505441e-01   5.0482216e-01   3.8487709e-01   3.7638816e-01   3.6942020e-01   3.3437296e-01   3.0567552e-01   2.8496386e-01   2.2766675e-01   2.2660835e-01   1.7722933e-01   1.5399549e-01   1.3372395e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   8.4000000e+05   3.7003560e-01   3.2868037e-01   3.1204421e-01   2.8560038e-01   2.2192715e-01   2.1738854e-01   2.1365957e-01   1.9485279e-01   1.7938543e-01   1.6818053e-01   1.3697384e-01   1.3639415e-01   1.0919110e-01   9.6266331e-02   8.4906991e-02   2.4409462e-03   2.4166887e-03   2.4166887e-03   2.4079944e-03   9.2487920e-04   9.2485860e-04
   1.5500000e+06   2.1446698e-01   1.9148563e-01   1.8221070e-01   1.6742944e-01   1.3162174e-01   1.2905634e-01   1.2694717e-01   1.1628931e-01   1.0749687e-01   1.0111099e-01   8.3244176e-02   8.2911037e-02   6.7218915e-02   5.9717380e-02   5.3095345e-02   2.7085010e-03   2.6894098e-03   2.6894098e-03   2.6825591e-03   1.4177291e-03   1.4177094e-03
   1.9100000e+06   1.7732506e-01   1.5855928e-01   1.5097809e-01   1.3888642e-01   1.0953969e-01   1.0743391e-01   1.0570226e-01   9.6946980e-02   8.9717381e-02   8.4462488e-02   6.9739860e-02   6.9465041e-02   5.6505550e-02   5.0299219e-02   4.4813577e-02   2.5820481e-03   2.5652726e-03   2.5652726e-03   2.5592516e-03   1.4325379e-03   1.4325200e-03
   3.0000000e+06   1.1684568e-01   1.0478006e-01   9.9895779e-02   9.2092984e-02   7.3084406e-02   7.1716186e-02   7.0590588e-02   6.4892930e-02   6.0179372e-02   5.6747974e-02   4.7108052e-02   4.6927713e-02   3.8404879e-02   3.4308945e-02   3.0679705e-02   2.1420611e-03   2.1298925e-03   2.1298925e-03   2.1255239e-03   1.2932515e-03   1.2932380e-03
   5.0000000e+06   7.2275075e-02   6.4993417e-02   6.2039566e-02   5.7312819e-02   4.5753344e-02   4.4918636e-02   4.4231655e-02   4.0750088e-02   3.7864376e-02   3.5760305e-02   2.9832937e-02   2.9721803e-02   2.4458068e-02   2.1919545e-02   1.9664776e-02   1.5849854e-03   1.5768565e-03   1.5768565e-03   1.5739376e-03   1.0119261e-03   1.0119169e-03
   7.5000000e+06   4.9094816e-02   4.4235524e-02   4.2261294e-02   3.9098265e-02   3.1340983e-02   3.0779516e-02   3.0317275e-02   2.7972633e-02   2.6026565e-02   2.4605986e-02   2.0596038e-02   2.0520734e-02   1.6948327e-02   1.5221146e-02   1.3684359e-02   1.1960454e-03   1.1902487e-03   1.1902487e-03   1.1881671e-03   7.8524815e-04   7.8524147e-04
   1.0000000e+07   3.7217932e-02   3.3577454e-02   3.2096878e-02   2.9722807e-02   2.3889321e-02   2.3466432e-02   2.3118206e-02   2.1350852e-02   1.9882568e-02   1.8809931e-02   1.5778061e-02   1.5721063e-02   1.3014230e-02   1.1703348e-02   1.0535625e-02   9.6418246e-04   9.5965317e-04   9.5965317e-04   9.5802663e-04   6.4228066e-04   6.4227541e-04
